account,peer_account,amount,ts,txn_type,ref_id
ACC-B251,ACC-B337,4847,2026-01-08 15:00:00,CREDIT,REF-B10
ACC-B148,ACC-B177,3065,2026-01-08 12:00:00,DEBIT,REF-B11
ACC-B177,ACC-B148,3065,2026-01-08 12:00:00,CREDIT,REF-B11
ACC-B497,ACC-B190,1391,2026-01-10 09:00:00,DEBIT,REF-B12
ACC-B190,ACC-B497,1391,2026-01-10 09:00:00,CREDIT,REF-B12
ACC-B742,ACC-B997,2267,2026-01-01 09:00:00,DEBIT,REF-B13
ACC-B997,ACC-B742,2267,2026-01-01 09:00:00,CREDIT,REF-B13
ACC-B140,ACC-B959,2504,2026-01-05 16:00:00,DEBIT,REF-B14
ACC-B959,ACC-B140,2504,2026-01-05 16:00:00,CREDIT,REF-B14
ACC-B451,ACC-B703,219,2026-01-07 11:00:00,DEBIT,REF-B15
ACC-B703,ACC-B451,219,2026-01-07 11:00:00,CREDIT,REF-B15
ACC-B429,ACC-B720,4188,2026-01-11 20:00:00,DEBIT,REF-B16
ACC-B720,ACC-B429,4188,2026-01-11 20:00:00,CREDIT,REF-B16
ACC-B561,ACC-B493,4960,2026-01-11 16:00:00,DEBIT,REF-B17
ACC-B493,ACC-B561,4960,2026-01-11 16:00:00,CREDIT,REF-B17
ACC-B513,ACC-B851,1232,2026-01-04 10:00:00,DEBIT,REF-B18
ACC-B851,ACC-B513,1232,2026-01-04 10:00:00,CREDIT,REF-B18
ACC-B223,ACC-B983,4079,2026-01-01 09:00:00,DEBIT,REF-B19
ACC-B983,ACC-B223,4079,2026-01-01 09:00:00,CREDIT,REF-B19
ACC-B294,ACC-B385,2043,2026-01-04 20:00:00,DEBIT,REF-B20
ACC-B385,ACC-B294,2043,2026-01-04 20:00:00,CREDIT,REF-B20
ACC-B703,ACC-B155,3448,2026-01-04 16:00:00,DEBIT,REF-B21
ACC-B155,ACC-B703,3448,2026-01-04 16:00:00,CREDIT,REF-B21
ACC-B341,ACC-B682,2388,2026-01-08 15:00:00,DEBIT,REF-B22
ACC-B682,ACC-B341,2388,2026-01-08 15:00:00,CREDIT,REF-B22
ACC-B455,ACC-B589,241,2026-01-11 12:00:00,DEBIT,REF-B23
ACC-B589,ACC-B455,241,2026-01-11 12:00:00,CREDIT,REF-B23
ACC-B179,ACC-B621,2232,2026-01-03 19:00:00,DEBIT,REF-B24
ACC-B621,ACC-B179,2232,2026-01-03 19:00:00,CREDIT,REF-B24
ACC-B954,ACC-B142,2660,2026-01-01 09:00:00,DEBIT,REF-B25
ACC-B142,ACC-B954,2660,2026-01-01 09:00:00,CREDIT,REF-B25
ACC-B624,ACC-B261,2114,2026-01-10 20:00:00,DEBIT,REF-B26
ACC-B261,ACC-B624,2114,2026-01-10 20:00:00,CREDIT,REF-B26
ACC-B646,ACC-B150,2432,2026-01-06 09:00:00,DEBIT,REF-B27
ACC-B150,ACC-B646,2432,2026-01-06 09:00:00,CREDIT,REF-B27
ACC-B507,ACC-B843,4207,2026-01-11 13:00:00,DEBIT,REF-B28
ACC-B843,ACC-B507,4207,2026-01-11 13:00:00,CREDIT,REF-B28
ACC-B222,ACC-B473,112,2026-01-04 15:00:00,DEBIT,REF-B29
ACC-B473,ACC-B222,112,2026-01-04 15:00:00,CREDIT,REF-B29
ACC-B738,ACC-B787,2609,2026-01-09 18:00:00,DEBIT,REF-B30
ACC-B787,ACC-B738,2609,2026-01-09 18:00:00,CREDIT,REF-B30
ACC-B389,ACC-B187,146,2026-01-03 12:00:00,DEBIT,REF-B31
ACC-B187,ACC-B389,146,2026-01-03 12:00:00,CREDIT,REF-B31
ACC-B756,ACC-B407,1665,2026-01-08 19:00:00,DEBIT,REF-B32
ACC-B407,ACC-B756,1665,2026-01-08 19:00:00,CREDIT,REF-B32
ACC-B664,ACC-B453,3695,2026-01-02 08:00:00,DEBIT,REF-B33
ACC-B453,ACC-B664,3695,2026-01-02 08:00:00,CREDIT,REF-B33
ACC-B784,ACC-B268,3597,2026-01-03 17:00:00,DEBIT,REF-B34
ACC-B268,ACC-B784,3597,2026-01-03 17:00:00,CREDIT,REF-B34
ACC-B157,ACC-B940,2514,2026-01-07 17:00:00,DEBIT,REF-B35
ACC-B940,ACC-B157,2514,2026-01-07 17:00:00,CREDIT,REF-B35
ACC-B896,ACC-B582,2817,2026-01-06 11:00:00,DEBIT,REF-B36
ACC-B582,ACC-B896,2817,2026-01-06 11:00:00,CREDIT,REF-B36
ACC-B102,ACC-B768,2723,2026-01-11 10:00:00,DEBIT,REF-B37
ACC-B768,ACC-B102,2723,2026-01-11 10:00:00,CREDIT,REF-B37
ACC-B389,ACC-B545,1946,2026-01-09 09:00:00,DEBIT,REF-B38
ACC-B545,ACC-B389,1946,2026-01-09 09:00:00,CREDIT,REF-B38
ACC-B624,ACC-B257,4501,2026-01-11 10:00:00,DEBIT,REF-B39
ACC-B257,ACC-B624,4501,2026-01-11 10:00:00,CREDIT,REF-B39
ACC-B623,ACC-B467,407,2026-01-03 19:00:00,DEBIT,REF-B40
ACC-B467,ACC-B623,407,2026-01-03 19:00:00,CREDIT,REF-B40
ACC-B950,ACC-B838,3658,2026-01-01 09:00:00,DEBIT,REF-B41
ACC-B838,ACC-B950,3658,2026-01-01 09:00:00,CREDIT,REF-B41
ACC-B606,ACC-B626,3579,2026-01-06 10:00:00,DEBIT,REF-B42
ACC-B626,ACC-B606,3579,2026-01-06 10:00:00,CREDIT,REF-B42
ACC-B508,ACC-B830,4854,2026-01-02 18:00:00,DEBIT,REF-B43
ACC-B830,ACC-B508,4854,2026-01-02 18:00:00,CREDIT,REF-B43
ACC-B133,ACC-B723,3840,2026-01-10 20:00:00,DEBIT,REF-B44
ACC-B723,ACC-B133,3840,2026-01-10 20:00:00,CREDIT,REF-B44
ACC-B651,ACC-B519,193,2026-01-05 17:00:00,DEBIT,REF-B45
ACC-B519,ACC-B651,193,2026-01-05 17:00:00,CREDIT,REF-B45
ACC-B731,ACC-B347,3411,2026-01-06 16:00:00,DEBIT,REF-B46
ACC-B347,ACC-B731,3411,2026-01-06 16:00:00,CREDIT,REF-B46
ACC-B153,ACC-B871,4492,2026-01-08 08:00:00,DEBIT,REF-B47
ACC-B871,ACC-B153,4492,2026-01-08 08:00:00,CREDIT,REF-B47
ACC-B936,ACC-B826,3106,2026-01-10 15:00:00,DEBIT,REF-B48
ACC-B826,ACC-B936,3106,2026-01-10 15:00:00,CREDIT,REF-B48
ACC-B477,ACC-B314,2737,2026-01-09 19:00:00,DEBIT,REF-B49
ACC-B314,ACC-B477,2737,2026-01-09 19:00:00,CREDIT,REF-B49
